date,open,high,close,low,volume,amount,turnover_rate,p_change,review_pc,amplitude,MACD,DIFF,DEM,ema_quick,ema_slow,K,D,J,MACD_d,DIFF_d,DEM_d,K_d
2018-02-02,15.381,15.411,15.245,14.965,12488.0,19037956.0,0.47303030303,-0.735772887095,-0.898655296819,2.92554936045,-0.157434125301,-0.343039021281,-0.264321958631,16.0109120094,16.3539510307,43.2308014988,40.5625114787,48.567381539,0.644884362958,0.172789495217,0.0804408479315,0.292166248042
2018-02-05,15.093,15.192,15.108,14.95,8465.0,12788922.0,0.320643939394,-0.898655296819,-9.35266084194,1.60180037066,-0.200534293788,-0.389655892248,-0.289388745354,15.8720024695,16.2616583617,50.583619732,43.9028808965,63.945097403,0.273766366758,0.135893784891,0.0948342954682,0.170082857089
2018-02-06,14.746,14.844,13.695,13.688,25043.0,34296388.5,0.948598484848,-9.35266084194,-0.547645125958,8.44103687477,-0.392108419404,-0.534456507482,-0.33840229778,15.5370790126,16.0715355201,33.9242585987,40.5766734639,20.6194288684,0.955318524314,0.371611511886,0.169369241936,-0.329343001184
2018-02-07,14.232,14.232,13.62,12.471,17348.0,23627976.0,0.657121212121,-0.547645125958,2.26872246696,12.9295154185,-0.495030749925,-0.647796516483,-0.40028114152,15.2421437799,15.8899402964,44.3651786456,41.8395085245,49.4165188879,0.262484367658,0.212065916336,0.182855861637,0.307771502699
2018-02-08,13.937,14.217,13.929,13.763,14077.0,19607853.3,0.53321969697,2.26872246696,-3.25220762438,3.25938689066,-0.486852253088,-0.7045637997,-0.461137673156,15.0401216599,15.7446854596,41.7647446477,41.8145872322,41.6650594787,-0.0165211895187,0.087631349927,0.152034471084,-0.058614302416
2018-02-09,13.476,13.703,13.476,13.264,13094.0,17645474.4,0.495984848485,-3.25220762438,2.18907687741,3.25764321757,-0.505615125255,-0.777147126441,-0.524339563813,14.7994875584,15.5766346848,43.9403536831,42.5231760492,46.7747089511,0.0385391503246,0.103018813586,0.137056446124,0.0520919989759
2018-02-12,13.499,13.892,13.771,13.499,8826.0,12154284.6,0.334318181818,2.18907687741,-0.602715852153,2.85382325176,-0.443657120594,-0.801625264184,-0.579796703887,14.6412587033,15.4428839675,52.363967765,45.8034399545,65.4850233861,-0.122539856042,0.0314974306802,0.105765698226,0.191705650405
2018-02-13,14.035,14.035,13.688,13.68,11014.0,15075963.2,0.417196969697,-0.602715852153,0.379894798364,2.59351256575,-0.381587744669,-0.818289044306,-0.627495171971,14.4946035181,15.3128925625,35.6604855523,42.4224551537,22.1365463493,-0.139903932661,0.0207874936908,0.0822675737269,-0.318988092875
2018-02-14,13.672,13.922,13.74,13.604,4864.0,6683136.0,0.184242424242,0.379894798364,1.49199417758,2.31441048035,-0.304601857758,-0.81787133307,-0.665570404191,14.3785106692,15.1963820023,38.029422234,40.9581108472,32.1720450077,-0.201751466043,-0.000510469055801,0.0606781277698,0.066430297991
2018-02-22,13.922,13.99,13.945,13.793,9016.0,12572812.0,0.341515151515,1.49199417758,1.40552169236,1.41269272141,-0.20207986377,-0.791870319047,-0.690830387162,14.3118167201,15.1036870391,51.0720682914,44.3294299952,64.5573448836,-0.336577047636,-0.0317910812763,0.037952383117,0.342961982885
