,date,MACD_d,open,close,high,low,volume,ema_slow,ema_quick,DEM,DIFF,MACD,code,diff
354,2018-03-14,-24.8934950192,11198.77,11139.63,11242.3,11138.39,196067737.0,10962.0069538,11031.747089,-1.66777896284,69.740135203,142.815828332,sz,69.740135203
355,2018-03-15,-19.9931919093,11100.53,11163.65,11195.94,11051.62,187573554.0,10976.9434757,11052.0398445,13.68505059,75.0963688012,122.822636422,sz,75.0963688012
356,2018-03-16,-33.5822423191,11166.43,11051.12,11192.36,11051.12,169598355.0,10982.4380331,11051.89833,24.8400998529,69.4602969046,89.2403941034,sz,69.4602969046
357,2018-03-19,-23.9627270677,11046.03,11068.49,11120.75,10994.68,165819447.0,10988.8122529,11054.4508946,32.9998082323,65.6386417502,65.2776670357,sz,65.6386417502
358,2018-03-20,-17.8547572679,10982.73,11077.8,11082.03,10951.99,177360077.0,10995.4039378,11058.0430647,38.9276719533,62.6391268372,47.4229097678,sz,62.6391268372
359,2018-03-21,-26.7993311657,11100.91,10980.55,11170.56,10973.58,202472474.0,10994.3036461,11046.1210547,41.5056192786,51.8174085796,20.6235786021,sz,51.8174085796
360,2018-03-22,-31.8199506157,10988.83,10877.25,11035.58,10858.44,175778163.0,10985.6330057,11020.1408925,40.1060727769,34.5078867701,-11.1963720136,sz,34.5078867701
361,2018-03-23,-75.8982984507,10511.16,10439.99,10664.93,10256.5,282412822.0,10945.2150053,10930.886909,29.2192389688,-14.3280962633,-87.0946704643,sz,-14.3280962633
362,2018-03-26,-27.6621505755,10303.75,10564.38,10564.38,10217.22,195798888.0,10917.0050049,10874.5012307,14.8746363389,-42.503774181,-114.75682104,sz,-42.503774181
363,2018-03-27,15.3795974586,10683.16,10775.71,10799.37,10675.5,222882762.0,10906.5387082,10859.3025798,2.45248339122,-47.2361283994,-99.3772235812,sz,-47.2361283994
364,2018-03-28,-3.70524085164,10633.7,10630.69,10768.48,10613.06,204801306.0,10886.1054706,10824.1314137,-10.4328246629,-61.9740568793,-103.082464433,sz,-61.9740568793
365,2018-03-29,19.2553801597,10676.56,10755.92,10778.8,10564.29,192574640.0,10876.4621024,10813.63735,-20.911210197,-62.8247523337,-83.8270842732,sz,-62.8247523337
366,2018-03-30,31.2341473818,10776.71,10868.66,10883.05,10766.53,209103163.0,10875.8841689,10822.1023731,-27.4853273085,-53.7817957542,-52.5929368914,sz,-53.7817957542
367,2018-04-02,20.8299730985,10887.47,10852.95,10950.22,10835.71,238742940.0,10874.1853415,10826.8481619,-31.4556977826,-47.337179679,-31.7629637929,sz,-47.337179679
368,2018-04-03,2.70194040248,10718.43,10754.29,10783.93,10667.33,208204043.0,10865.3042051,10815.6853677,-35.0883257064,-49.6188374016,-29.0610233904,sz,-49.6188374016
369,2018-04-04,-5.04327349445,10778.86,10684.56,10829.82,10678.94,193163743.0,10851.9157455,10795.5122342,-39.351362817,-56.4035112594,-34.1042968849,sz,-56.4035112594
370,2018-04-09,-4.63537431359,10655.07,10653.38,10725.11,10571.16,185794685.0,10837.209394,10773.6457367,-44.1938217168,-63.563657316,-38.7396711985,sz,-63.563657316
371,2018-04-10,14.2570372081,10671.69,10765.62,10765.62,10628.24,199741594.0,10831.9064759,10772.4110079,-47.2541509656,-59.4954679608,-24.4826339903,sz,-59.4954679608
372,2018-04-11,16.5374792518,10796.5,10808.37,10856.44,10786.84,191004361.0,10830.1630332,10777.9431606,-48.2472953079,-52.2198726772,-7.94515473852,sz,-52.2198726772
373,2018-04-12,1.27080049163,10797.35,10726.96,10825.66,10720.83,171686889.0,10822.5183641,10770.0995974,-49.0815895888,-52.4187667122,-6.67435424689,sz,-52.4187667122
374,2018-04-13,-3.05642621177,10789.77,10687.02,10825.67,10670.65,161837312.0,10812.4814483,10757.3181209,-50.2979371461,-55.1633273754,-9.73078045866,sz,-55.1633273754
375,2018-04-16,-8.81414418352,10660.69,10621.79,10704.39,10540.69,188159462.0,10798.3561558,10736.4676407,-52.6160527264,-61.8885150475,-18.5449246422,sz,-61.8885150475
376,2018-04-17,-32.5189925057,10636.88,10395.16,10669.15,10390.05,202286400.0,10768.4897739,10683.9587729,-58.9990423699,-84.5310009438,-51.0639171479,sz,-84.5310009438
377,2018-04-18,-4.37793847456,10477.52,10491.15,10514.74,10249.87,215834944.0,10747.9460869,10654.2958848,-65.9292743227,-93.6502021339,-55.4418556225,sz,-93.6502021339
378,2018-04-19,15.0469830049,10502.36,10598.35,10646.7,10485.41,203988578.0,10736.8648953,10645.6888256,-70.9786333999,-91.1760697087,-40.3948726176,sz,-91.1760697087
379,2018-04-20,-11.3363157521,10571.99,10408.91,10619.17,10392.69,196805692.0,10712.5719401,10609.261314,-77.4450319461,-103.310626131,-51.7311883697,sz,-103.310626131
380,2018-04-23,-12.9727390171,10416.78,10330.63,10471.21,10228.09,179579807.0,10684.2799445,10566.394958,-85.5330228694,-117.884986563,-64.7039273869,sz,-117.884986563
381,2018-04-24,25.6902365428,10325.51,10556.82,10556.82,10325.51,190970006.0,10674.8384672,10564.9218875,-90.4097342249,-109.916579647,-39.0136908441,sz,-109.916579647
382,2018-04-25,18.5551858974,10503.94,10547.1,10579.18,10488.87,183348346.0,10665.3763585,10562.1800587,-92.9670473433,-103.196299817,-20.4585049467,sz,-103.196299817
383,2018-04-26,-18.1468305087,10495.03,10292.12,10508.01,10290.37,186332439.0,10637.7277393,10520.6323573,-97.7927142752,-117.095382003,-38.6053354554,sz,-117.095382003
384,2018-04-27,-3.43820845634,10353.02,10324.47,10382.77,10239.97,164776511.0,10614.5234623,10490.4535331,-103.048157264,-124.06992922,-42.0435439118,sz,-124.06992922
385,2018-05-02,4.27386767542,10356.19,10342.85,10433.28,10283.52,160567095.0,10594.3995022,10467.7452973,-107.769366794,-126.654204912,-37.7696762363,sz,-126.654204912
386,2018-05-03,21.4000936719,10329.16,10458.62,10459.38,10228.26,177743321.0,10584.3417613,10466.3414054,-109.815564614,-118.000355897,-16.3695825645,sz,-118.000355897
